,russian_title,itm_title,ganers,rating,year
36,Корзинка фруктов: Финал,Fruits Basket: The Final,"['Драма', 'Романтика', 'Сёдзе', 'Сверхъестественное']",9.0,2021
37,Гинтама 5 сезон,Gintama.,"['Экшен', 'Комедия', 'Исторический', 'Пародия', 'Самураи', 'Сёнен', 'Фантастика', 'Гэг юмор']",9.0,2017
38,Блич: Тысячелетняя кровавая война — Прощание,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",9.0,Онгоинг
39,Гинтама,gintama tv,"['Экшен', 'Фантастика', 'Комедия', 'Исторический', 'Пародия', 'Самураи', 'Сёнен', 'Гэг юмор']",8.9,2006
40,Форма голоса,Koe no Katachi,"['Драма', 'Сёнен', 'Романтический подтекст', 'Удостоено наград']",8.9,2016
41,Кланнад: Продолжение истории,Clannad: After Story,"['Драма', 'Романтика', 'Сверхъестественное']",8.9,2008
42,Мартовский лев 2 сезон,3-gatsu no Lion 2nd Season,"['Игры', 'Драма', 'Сейнен', 'Уход за детьми', 'Ияшикей']",8.9,2017
43,Гинтама: Финальная арка — Ёродзуя навсегда!,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Экшен', 'Комедия', 'Исторический', 'Пародия', 'Самураи', 'Фантастика', 'Сёнен', 'Гэг юмор', 'Путешествие во времени']",8.9,2013
44,Код Гиас: Восставший Лелуш 2 сезон,Code Geass: Hangyaku no Lelouch R2 / cgr2,"['Экшен', 'Драма', 'Меха', 'Фантастика', 'Супер сила', 'Военное', 'Удостоено наград']",8.9,2008
45,Вайолет Эвергарден. Фильм,Violet Evergarden Movie,"['Драма', 'Фэнтези', 'Удостоено наград']",8.9,2020
46,История финала 2 сезон,Owarimonogatari 2nd Season,"['Комедия', 'Сверхъестественное', 'Детектив', 'Вампиры']",8.9,2017
47,Гинтама 8 сезон,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,"['Экшен', 'Комедия', 'Исторический', 'Пародия', 'Самураи', 'Фантастика', 'Сёнен', 'Гэг юмор']",8.9,2018
48,Монстр,Monster,"['Детектив', 'Драма', 'Психологическое', 'Триллер', 'Сейнен', 'Взрослые сейю']",8.9,2004
49,Твоё имя,Kimi no Na wa.,"['Сверхъестественное', 'Драма', 'Романтический подтекст', 'Удостоено наград']",8.9,2016
50,Ребёнок идола,"""Oshi no Ko""","['Драма', 'Сверхъестественное', 'Реинкарнация', 'Сейнен', 'Шоу-бизнес']",8.9,2023
51,Одинокий рокер!,Bocchi the Rock!,"['Музыка', 'Комедия', 'CGDCT']",8.8,2022
52,Идол,Idol,['Музыка'],8.8,2023
53,Сага о Винланде 2 сезон,Vinland Saga Season 2 сезон,"['Экшен', 'Приключения', 'Исторический', 'Драма', 'Сейнен', 'Кровь']",8.8,2023
54,Гинтама 7 сезон,Gintama.: Shirogane no Tamashii-hen,"['Экшен', 'Фантастика', 'Комедия', 'Исторический', 'Пародия', 'Самураи', 'Сёнен', 'Гэг юмор']",8.8,2018
55,Царство 3 сезон,Kingdom 3rd Season,"['Экшен', 'Военное', 'Исторический', 'Сейнен']",8.8,2020
56,Моб Психо 100 2 сезон,Mob Psycho 100 TV-2,"['Экшен', 'Комедия', 'Сверхъестественное', 'Супер сила']",8.8,2019
57,Атака титанов: Финал,Shingeki no Kyojin: The Final Season,"['Экшен', 'Военное', 'Драма', 'Сёнен', 'Кровь', 'Выживание']",8.8,2020
58,Истории ран. Часть 3: Холодная кровь,Kizumonogatari III: Reiketsu-hen,"['Экшен', 'Сверхъестественное', 'Детектив', 'Вампиры']",8.8,2017
59,"Клинок, рассекающий демонов: Квартал красных фонарей",Kimetsu no Yaiba: Yuukaku-hen,"['Экшен', 'Исторический', 'Сёнен', 'Фэнтези']",8.8,2021
60,Унесённые призраками,Sen to Chihiro no Kamikakushi / Sen to Chihiro,"['Приключения', 'Сверхъестественное', 'Удостоено наград', 'Демоны']",8.8,2001
61,Волейбол!! 3 сезон,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou / haikyuu3,"['Школа', 'Сёнен', 'Спорт', 'Командный спорт']",8.8,2016
62,Цикл историй: Второй сезон,Onimonogatari,"['Комедия', 'Детектив', 'Романтика', 'Сверхъестественное', 'Вампиры']",8.8,2013
63,Атака титанов: Финал. Часть 2 сезон,Shingeki no Kyojin: The Final Season Part 2,"['Экшен', 'Военное', 'Драма', 'Сёнен', 'Кровь', 'Выживание']",8.8,2022
64,Первый шаг,Hajime no Ippo,"['Сёнен', 'Спорт', 'Боевые искусства']",8.8,2000
65,Ковбой Бибоп,CBB,"['Экшен', 'Фантастика', 'Космос', 'Взрослые сейю', 'Удостоено наград']",8.8,1998
66,Сага о Винланде,Vinland Saga,"['Экшен', 'Приключения', 'Драма', 'Исторический', 'Сейнен', 'Кровь']",8.7,2019
67,Царство 4 сезон,Kingdom 4th Season,"['Экшен', 'Исторический', 'Военное', 'Сейнен']",8.7,2022
68,Мастер муси: Следующая глава 2 сезон,Mushishi Zoku Shou (2014),"['Приключения', 'Детектив', 'Исторический', 'Повседневность', 'Сверхъестественное', 'Сейнен', 'Взрослые сейю', 'Ияшикей']",8.7,2014
69,Сёва-Гэнроку: Двойное самоубийство по ракуго 2 сезон,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,"['Взрослые сейю', 'Драма', 'Дзёсей', 'Исторический', 'Любовный многоугольник', 'Исполнительское искусство']",8.7,2017
70,Агент времени,Shiguang Dailiren,"['Драма', 'Сверхъестественное', 'Путешествие во времени', 'Взрослые сейю']",8.7,2021
71,Моб Психо 100 3 сезон,Mob Psycho 100 III,"['Супер сила', 'Экшен', 'Комедия', 'Сверхъестественное']",8.7,2022
72,Бродяга Кэнсин: Воспоминания,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen / kenshin ova 1,"['Экшен', 'Исторический', 'Боевые искусства', 'Самураи', 'Романтика', 'Сёнен', 'Драма', 'Взрослые сейю']",8.7,1999
73,Завтрашний Джо 2 сезон,Ashita no Joe 2,"['Драма', 'Спорт', 'Сёнен', 'Боевые искусства']",8.7,1981
74,Восемьдесят шесть. Часть 2 сезон,86 Part 2,"['Фантастика', 'Драма', 'Экшен', 'Военное', 'Меха']",8.7,2021
75,Код Гиас: Восставший Лелуш,Code Geass: Hangyaku no Lelouch / geass1,"['Экшен', 'Меха', 'Школа', 'Фантастика', 'Супер сила', 'Военное', 'Удостоено наград', 'Драма']",8.7,2006
76,Мастер муси: Следующая глава,Mushishi Zoku Shou,"['Приключения', 'Повседневность', 'Детектив', 'Исторический', 'Сверхъестественное', 'Сейнен', 'Взрослые сейю', 'Ияшикей']",8.7,2014
77,Ван-Пис,One Piece TV,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",8.7,Онгоинг
78,Реинкарнация безработного: История о приключениях в другом мире. Часть 2 сезон,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"['Драма', 'Фэнтези', 'Этти', 'Исекай', 'Реинкарнация']",8.7,2021
79,Крутой учитель Онидзука,GTO,"['Комедия', 'Школа', 'Сёнен', 'Правонарушители', 'Работа']",8.7,1999
80,Реинкарнация безработного: История о приключениях в другом мире 2 сезон,Mushoku Tensei II: Isekai Ittara Honki Dasu,"['Драма', 'Фэнтези', 'Этти', 'Исекай', 'Реинкарнация']",8.7,Онгоинг
