,russian_title,itm_title,ganers,rating,year
273,Детектив Конан: Призрак с Бейкер-Стрит,Detective Conan Movie 06: The Phantom of Baker Street / CM6,"['Приключения', 'Детектив', 'Сёнен', 'Полиция']",8.3,2002
274,Евангелион 2.22: Ты (не) пройдёшь,Evangelion Shin Gekijouban: Ha,"['Экшен', 'Меха', 'Фантастика', 'Психологическое', 'Драма']",8.3,2009
275,Баскетбол Куроко 3 сезон,Kuroko no Basket 3rd Season / knb 3,"['Школа', 'Сёнен', 'Спорт', 'Командный спорт']",8.3,2015
276,Путь аса 2 сезон,Diamond no Ace: Second Season,"['Школа', 'Сёнен', 'Спорт', 'Командный спорт']",8.3,2015
277,"Звучи, эуфониум! 2 сезон",Hibike! Euphonium 2,"['Музыка', 'Драма', 'Школа', 'Исполнительское искусство']",8.3,2016
278,Дракон-горничная госпожи Кобаяси 2 сезон,Kobayashi-san Chi no Maid Dragon S,"['Повседневность', 'Фэнтези']",8.3,2021
279,Путешествие Кино: Прекрасный мир,Kino no Tabi: The Beautiful World / Kino`s Journey,"['Экшен', 'Приключения', 'Повседневность', 'Психологическое', 'Ияшикей']",8.3,2003
280,"В лес, где мерцают светлячки",Hotarubi no Mori e,"['Драма', 'Романтика', 'Сёдзе', 'Сверхъестественное', 'Удостоено наград']",8.3,2011
281,Завтрашний Джо,Ashita no Joe,"['Драма', 'Спорт', 'Сёнен', 'Боевые искусства']",8.3,1970
282,Бродяга Кэнсин,Rurouni Kenshin: Meiji Kenkaku Romantan / rktv,"['Сёнен', 'Экшен', 'Приключения', 'Комедия', 'Исторический', 'Самураи', 'Романтика']",8.3,1996
283,Бек,Beck,"['Комедия', 'Драма', 'Музыка', 'Сёнен', 'Повседневность']",8.3,2004
284,Мэйджор: Мировая серия,Major: World Series,"['Сёнен', 'Спорт', 'Командный спорт']",8.3,2011
285,Врата Штейна: Эгоистичная пориомания,Steins;Gate: Oukoubakko no Poriomania,"['Фантастика', 'Комедия', 'Путешествие во времени']",8.3,2012
286,Гинтама: Сказание о Бэнидзакуре — Дополнение,Gintama: Shinyaku Benizakura-hen,"['Экшен', 'Комедия', 'Исторический', 'Пародия', 'Самураи', 'Фантастика', 'Сёнен']",8.3,2010
287,Одноклассник,Doukyuusei (Movie),"['Романтика', 'Школа', 'Сёнен Ай']",8.3,2016
288,Доктор Стоун,Dr.STONE,"['Приключения', 'Фантастика', 'Сёнен', 'Комедия', 'Выживание', 'Путешествие во времени']",8.3,2019
289,Дитя погоды,Tenki no Ko,"['Драма', 'Романтика', 'Фэнтези', 'Удостоено наград']",8.3,2019
290,Опасность в моём сердце,Boku no Kokoro no Yabai Yatsu,"['Комедия', 'Школа', 'Сёнен', 'Романтика']",8.3,2023
291,Судьба/Странная подделка: Шёпот рассвета,Fate/strange Fake -Whispers of Dawn-,"['Экшен', 'Фэнтези', 'Сверхъестественное']",8.3,2023
292,Судьба/Начало,Fate/Zero,"['Экшен', 'Фэнтези', 'Сверхъестественное']",8.3,2011
293,Красная черта,Redline,"['Экшен', 'Машины', 'Фантастика', 'Взрослые сейю']",8.3,2009
294,Из нового света,Shinsekai yori,"['Драма', 'Ужасы', 'Фантастика', 'Фэнтези', 'Триллер', 'Детектив', 'Психологическое']",8.3,2012
295,Инициал Ди: Финальная стадия,Initial D Final Stage,"['Машины', 'Сейнен']",8.3,2014
296,Белый ящик,Shirobako,"['Комедия', 'Драма', 'Удостоено наград', 'Взрослые сейю', 'Культура отаку', 'Работа']",8.3,2014
297,Восемьдесят шесть,86,"['Экшен', 'Военное', 'Меха', 'Фантастика', 'Драма']",8.3,2021
298,Легенда о героях Галактики: Новый тезис. Столкновение,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,"['Военное', 'Фантастика', 'Космос', 'Драма', 'Взрослые сейю']",8.3,2022
299,Серебряная ложка 2 сезон,Gin no Saji 2nd Season,"['Комедия', 'Школа', 'Сёнен']",8.3,2014
300,Однажды в Токио,Tokyo Godfathers,"['Комедия', 'Драма', 'Уход за детьми', 'Удостоено наград']",8.3,2003
301,Кайдзи,Gyakkyou Burai Kaiji: Ultimate Survivor / kaiji,"['Игры', 'Психологическое', 'Триллер', 'Сейнен', 'Взрослые сейю', 'Игра с высокими ставками']",8.3,2007
302,Призрак в доспехах,Koukaku Kidoutai,"['Меха', 'Фантастика', 'Полиция', 'Психологическое', 'Детектив', 'Триллер', 'Экшен', 'Сейнен', 'Взрослые сейю', 'Удостоено наград']",8.3,1995
303,Нодамэ Кантабиле,Nodame Cantabile,"['Музыка', 'Комедия', 'Романтика', 'Дзёсей', 'Взрослые сейю']",8.3,2007
304,Хроника крыльев: Откровения Токио,Tsubasa: Tokyo Revelations / tsubasa3,"['Приключения', 'Драма', 'Фэнтези', 'Романтика', 'Сёнен', 'Экшен']",8.3,2007
305,Лагерь на свежем воздухе,Yuru Camp△,"['Повседневность', 'CGDCT', 'Ияшикей']",8.3,2018
306,Патриотизм Мориарти 2 сезон,Yuukoku no Moriarty Part 2,"['Детектив', 'Исторический', 'Психологическое', 'Сёнен', 'Триллер', 'Взрослые сейю']",8.3,2021
307,Импульс мира 3 сезон,World Trigger 3rd Season,"['Экшен', 'Фантастика', 'Сёнен']",8.3,2021
308,Меч чужака,Stranger: Mukou Hadan / stranger,"['Экшен', 'Приключения', 'Исторический', 'Самураи']",8.3,2007
309,Первый шаг: Путь чемпиона,Hajime no Ippo: Champion Road,"['Сёнен', 'Спорт', 'Боевые искусства']",8.3,2003
310,Странники,Planetes,"['Драма', 'Романтика', 'Фантастика', 'Космос', 'Удостоено наград', 'Сейнен', 'Взрослые сейю', 'Работа']",8.3,2003
311,Небесный замок Лапута,Tenkuu no Shiro Laputa / Laputa,"['Приключения', 'Фэнтези', 'Романтика', 'Фантастика', 'Удостоено наград']",8.3,1986
312,Наруто: Ураганные хроники,Naruto: Shippuuden,"['Экшен', 'Боевые искусства', 'Сёнен', 'Приключения', 'Фэнтези']",8.3,2007
313,Космический Денди 2 сезон,Space☆Dandy 2nd Season,"['Комедия', 'Фантастика', 'Космос', 'Взрослые сейю']",8.3,2014
314,Этот замечательный мир! 2 сезон,Kono Subarashii Sekai ni Shukufuku wo! 2 / konosuba 2,"['Приключения', 'Комедия', 'Фэнтези', 'Пародия', 'Исекай', 'Реинкарнация']",8.3,2017
315,Путь аса: Акт II,Diamond no Ace: Act II,"['Спорт', 'Школа', 'Сёнен', 'Командный спорт']",8.3,2019
316,Охотник х Охотник: Остров Жадности — Финал,Hunter x Hunter: Greed Island Final / GIFinal,"['Фэнтези', 'Экшен', 'Приключения', 'Сёнен']",8.3,2004
317,Мой сосед Тоторо,Tonari no Totoro,"['Приключения', 'Сверхъестественное', 'Удостоено наград']",8.3,1988
318,Актриса тысячелетия,Sennen Joyuu,"['Экшен', 'Приключения', 'Драма', 'Фэнтези', 'Исторический', 'Романтика', 'Шоу-бизнес', 'Удостоено наград']",8.3,2002
319,Кайдзи 2 сезон,Gyakkyou Burai Kaiji: Hakairoku-hen / kaiji s2,"['Игры', 'Психологическое', 'Триллер', 'Сейнен', 'Взрослые сейю', 'Игра с высокими ставками']",8.3,2011
320,Ученик чудовища,Bakemono no Ko,"['Приключения', 'Фэнтези', 'Антропоморфизм', 'Исекай']",8.3,2015
321,Тёмный дворецкий: Глава об Атлантике,Kuroshitsuji Movie: Book of the Atlantic,"['Экшен', 'Комедия', 'Демоны', 'Сверхъестественное', 'Исторический', 'Сёнен', 'Детектив']",8.3,2017
322,Врата Штейна: Найти недостающее звено — Деление на ноль,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"['Фантастика', 'Триллер', 'Путешествие во времени']",8.3,2015
323,Деревенская глубинка: Каникулы,Non Non Biyori Movie: Vacation,"['Сейнен', 'Повседневность', 'CGDCT', 'Ияшикей']",8.3,2018
324,Легенда о героях Галактики: Новый тезис. Межзвёздная война — Часть 3,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,"['Военное', 'Фантастика', 'Космос', 'Драма', 'Взрослые сейю']",8.3,2019
325,Легенда о героях Галактики: Новый тезис. Стратегия,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,"['Драма', 'Фантастика', 'Взрослые сейю', 'Военное', 'Космос']",8.3,2022
326,Повседневная жизнь старшеклассников,Danshi Koukousei no Nichijou,"['Комедия', 'Школа', 'Гэг юмор']",8.2,2012
327,Детектив Конан: Первый эпизод —  Уменьшившийся великий детектив,Detective Conan: Episode One - The Great Detective Turned Small,"['Приключения', 'Комедия', 'Полиция', 'Сёнен', 'Детектив']",8.2,2016
328,Этот глупый свин не понимает мечту девочки-зайки,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai / Seibuta,"['Романтика', 'Школа', 'Сверхъестественное', 'Драма']",8.2,2018
329,Дороро,Dororo,"['Экшен', 'Приключения', 'Сверхъестественное', 'Исторический', 'Демоны', 'Сёнен', 'Самураи']",8.2,2019
330,Золотое божество 2 сезон,Golden Kamuy 2nd Season,"['Взрослые сейю', 'Военное', 'Экшен', 'Приключения', 'Исторический', 'Сейнен']",8.2,2018
331,Хоримия: Кусочек,Horimiya: Piece,"['Романтика', 'Школа', 'Сёнен']",8.2,Онгоинг
332,"Может, я встречу тебя в подземелье? 4. Часть 2 сезон",Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,"['Экшен', 'Приключения', 'Фэнтези']",8.2,2023
333,Первый шаг: Машиба против Кимуры,Hajime no Ippo: Mashiba vs. Kimura,"['Сёнен', 'Спорт', 'Боевые искусства']",8.2,2003
334,Нодамэ Кантабиле: Финал,Nodame Cantabile: Finale / NC3,"['Комедия', 'Музыка', 'Романтика', 'Дзёсей', 'Взрослые сейю']",8.2,2010
335,Re:Zero. Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu / Re:Zero,"['Драма', 'Фэнтези', 'Триллер', 'Психологическое', 'Исекай', 'Путешествие во времени']",8.2,2016
336,Гандам: Железнокровные сироты 2 сезон,Kidou Senshi Gundam: Tekketsu no Orphans (2016),"['Драма', 'Фантастика', 'Экшен', 'Космос', 'Меха']",8.2,2016
337,Военная хроника маленькой девочки. Фильм,Youjo Senki Movie,"['Военное', 'Экшен', 'Исекай', 'Реинкарнация', 'Фэнтези']",8.2,2019
338,Великий притворщик,Great Pretender,"['Экшен', 'Приключения', 'Детектив', 'Взрослые сейю']",8.2,2020
339,Граффити Холо,Holo no Graffiti,['Комедия'],8.2,Онгоинг
340,Эта фарфоровая кукла влюбилась,Sono Bisque Doll wa Koi wo Suru,"['Школа', 'Сейнен', 'Культура отаку', 'Романтика']",8.2,2022
341,Сасаки и Мияно,Sasaki to Miyano,"['Школа', 'Сёнен Ай', 'Культура отаку']",8.2,2022
342,Доктор Стоун: Рюсуй,Dr. Stone: Ryuusui,"['Приключения', 'Комедия', 'Фантастика', 'Сёнен', 'Путешествие во времени']",8.2,2022
343,Иллюзия рая,Tengoku Daimakyou,"['Приключения', 'Детектив', 'Фантастика', 'Выживание', 'Сейнен']",8.2,2023
344,Ведьмина служба доставки,Majo no Takkyuubin,"['Приключения', 'Комедия', 'Драма', 'Фэнтези', 'Удостоено наград']",8.2,1989
345,Баскетбол Куроко 2 сезон,Kuroko no Basket 2nd Season / knb 2,"['Школа', 'Сёнен', 'Спорт', 'Командный спорт']",8.2,2013
346,Волчица и пряности,Ookami to Koushinryou / SW,"['Приключения', 'Фэнтези', 'Романтика', 'Взрослые сейю']",8.2,2008
347,Шёпот сердца,Mimi wo Sumaseba,"['Драма', 'Романтика', 'Сёдзе']",8.2,1995
348,Триган,Trigun TV,"['Экшен', 'Фантастика', 'Приключения', 'Сёнен', 'Взрослые сейю']",8.2,1998
349,Маги: Королевство магии,Magi: The Kingdom of Magic / Magi 2,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",8.2,2013
350,В этом уголке мира,Kono Sekai no Katasumi ni,"['Драма', 'Исторический', 'Сейнен', 'Удостоено наград']",8.2,2016
351,Мэйджор,Major S1,"['Сёнен', 'Спорт', 'Командный спорт']",8.2,2004
352,Мэйджор 3 сезон,Major S3,"['Сёнен', 'Спорт', 'Командный спорт']",8.2,2007
353,Великий из бродячих псов 3 сезон,Bungou Stray Dogs 3rd Season,"['Экшен', 'Детектив', 'Сверхъестественное', 'Сейнен', 'Супер сила', 'Взрослые сейю', 'Организованная преступность']",8.2,2019
354,Корзинка фруктов (2019),Fruits Basket TV-1,"['Драма', 'Романтика', 'Сёдзе', 'Любовный многоугольник', 'Школа', 'Сверхъестественное']",8.2,2019
355,Ван-Пис: Бегство,One Piece Movie 14: Stampede,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",8.2,2019
356,Ао Аси,Ao Ashi,"['Спорт', 'Сейнен', 'Командный спорт']",8.2,2022
357,"Котаро, который живёт сам по себе",Kotarou wa Hitorigurashi,"['Комедия', 'Повседневность', 'Сейнен', 'Уход за детьми']",8.2,2022
358,Сакура — собирательница карт: Запечатанная карта,Cardcaptor Sakura Movie 2: Fuuin Sareta Card / ccs movie 2,"['Комедия', 'Драма', 'Фэнтези', 'Романтика', 'Сёдзе', 'Махо-сёдзё', 'Удостоено наград']",8.2,2000
359,Детектив Конан: Охота на ворона,Meitantei Conan: Shikkoku no Chaser,"['Экшен', 'Детектив', 'Сёнен', 'Полиция']",8.2,2009
360,Триплексоголик: Продолжение,xxxHOLiC◆Kei,"['Комедия', 'Детектив', 'Драма', 'Сверхъестественное', 'Сейнен']",8.2,2008
361,Скет Данс,Sket Dance,"['Комедия', 'Школа', 'Сёнен']",8.2,2011
362,"Очень приятно, Бог 2 сезон",Kamisama Hajimemashita◎,"['Комедия', 'Демоны', 'Фэнтези', 'Романтика', 'Сёдзе']",8.2,2015
363,"Как и ожидалось, моя школьная романтическая жизнь не удалась 2 сезон",Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku / Oregairu 2,"['Комедия', 'Романтика', 'Школа', 'Любовный многоугольник']",8.2,2015
364,Муми-тролли,Tanoshii Muumin Ikka,"['Приключения', 'Комедия', 'Фэнтези', 'Детское', 'Повседневность', 'Ияшикей']",8.2,1990
365,Девочка-волшебница Мадока★Волшебный фильм 1:  История начала,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"['Психологическое', 'Драма', 'Триллер', 'Махо-сёдзё']",8.2,2012
366,Семёрка идолов 3 сезон,IDOLiSH7 Third Beat!,"['Драма', 'Музыка', 'Идолы (парни)']",8.2,2021
367,Берсерк: Золотой век III — Сошествие,Berserk: Ougon Jidai-hen III - Kourin,"['Экшен', 'Приключения', 'Фэнтези', 'Военное', 'Сейнен', 'Драма', 'Ужасы', 'Кровь']",8.2,2013
368,Инуяся: Последний акт,InuYasha: Kanketsu-hen / iy2,"['Исторический', 'Экшен', 'Приключения', 'Демоны', 'Фэнтези', 'Романтика', 'Сёнен', 'Путешествие во времени']",8.2,2009
369,Юная революционерка Утэна,Shoujo Kakumei Utena TV / sku,"['Детектив', 'Драма', 'Фэнтези', 'Психологическое', 'Комедия', 'Махо-сёдзё', 'Удостоено наград']",8.2,1997
370,Мёд и клевер 2 сезон,Hachimitsu to Clover II / Hachikuro II,"['Драма', 'Романтика', 'Дзёсей', 'Любовный многоугольник', 'Изобразительное искусство', 'Взрослые сейю']",8.2,2006
371,Сказание о принцессе Кагуя,Kaguya-hime no Monogatari,"['Фэнтези', 'Исторический', 'Удостоено наград']",8.2,2013
372,Повторная жизнь: Заключительная глава,ReLIFE: Kanketsu-hen,"['Драма', 'Романтика', 'Школа']",8.2,2018
373,Девушки в последнем путешествии,Shoujo Shuumatsu Ryokou,"['Фантастика', 'Приключения', 'Повседневность', 'Детектив', 'Ияшикей']",8.2,2017
374,Волейбол!! Битва концепций,Haikyuu!! Movie 4: Concept no Tatakai,"['Спорт', 'Школа', 'Сёнен', 'Командный спорт']",8.2,2017
375,Ох уж этот экстрасенс Сайки Кусуо! Финал,Saiki Kusuo no Ψ-nan: Kanketsu-hen,"['Комедия', 'Сверхъестественное', 'Школа', 'Сёнен', 'Супер сила', 'Гэг юмор']",8.2,2018
376,Мегалобокс 2 сезон,Nomad: Megalo Box 2,"['Фантастика', 'Спорт', 'Боевые искусства']",8.2,2021
377,Хоримия,Horimiya,"['Романтика', 'Школа', 'Сёнен']",8.2,2021
378,Мемуары Ванитаса. Часть 2 сезон,Vanitas no Karte Part 2,"['Исторический', 'Вампиры', 'Сёнен', 'Экшен', 'Фэнтези', 'Детектив']",8.2,2022
379,Ликорис Рикоил,Lycoris Recoil,['Экшен'],8.2,2022
380,Бакуман,Bakuman.,"['Комедия', 'Романтика', 'Сёнен', 'Драма', 'Культура отаку']",8.2,2010
381,Триплексоголик: Клетка,xxxHOLiC Rou,"['Детектив', 'Сверхъестественное', 'Сейнен']",8.2,2010
382,Доходный дом Иккоку,Maison Ikkoku,"['Взрослые сейю', 'Комедия', 'Драма', 'Романтика', 'Сейнен']",8.2,1986
383,Судьба/Ночь схватки: Бесконечный мир клинков,Fate/stay night: Unlimited Blade Works / FSN 2014,"['Экшен', 'Фэнтези', 'Сверхъестественное']",8.2,2014
384,Мэйджор 2 сезон,Major S2,"['Сёнен', 'Спорт', 'Командный спорт']",8.2,2005
385,Мэйджор 4 сезон,Major S4,"['Сёнен', 'Спорт', 'Командный спорт']",8.2,2008
386,Ван-Пис: Эпизод Мерри — История об ещё одном накаме,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",8.2,2013
387,Великий из бродячих псов 2 сезон,Bungou Stray Dogs 2nd Season,"['Детектив', 'Сверхъестественное', 'Сейнен', 'Экшен', 'Супер сила', 'Взрослые сейю', 'Организованная преступность']",8.2,2016
388,Песня боевых принцесс: Мехасимфония 5 сезон,Senki Zesshou Symphogear XV,"['Музыка', 'Фантастика', 'Экшен', 'Идолы (девушки)']",8.2,2019
389,Нет игры — нет жизни: Начало,No Game No Life: Zero / NGNL Zero,"['Фэнтези', 'Драма', 'Романтика', 'Исекай']",8.2,2017
390,Весенняя ночь коротка,Yoru wa Mijikashi Arukeyo Otome,"['Комедия', 'Романтика']",8.2,2017
391,Лиз и синяя птица,Liz to Aoi Tori,"['Музыка', 'Драма', 'Школа', 'Исполнительское искусство', 'Удостоено наград']",8.2,2018
392,Давайте сыграем,Asobi Asobase,"['Комедия', 'Школа', 'Сейнен', 'Гэг юмор']",8.2,2018
393,"Останься со мной, Дораэмон! 2",Stand By Me Doraemon 2 сезон,"['Фантастика', 'Комедия', 'Детское']",8.2,2020
394,Блюз машины времени о четырёх с половиной татами,Yojouhan Time Machine Blues,"['Комедия', 'Детектив', 'Романтика', 'Психологическое', 'Путешествие во времени', 'Триллер']",8.2,2022
395,Яркая Тихая,Chihaya Full,"['Драма', 'Игры', 'Спорт', 'Дзёсей', 'Школа', 'Любовный многоугольник']",8.2,2011
396,Маленькие проказники! Ещё раз,Little Busters! Refrain / LB! Refrain,"['Комедия', 'Драма', 'Романтика', 'Школа', 'Сверхъестественное']",8.2,2013
397,Когда плачут цикады: Разгадки,Higurashi no Naku Koro ni Kai / Hnnkn2,"['Детектив', 'Сверхъестественное', 'Психологическое', 'Триллер', 'Кровь']",8.2,2007
398,Охотник х Охотник: Остров Жадности,Hunter x Hunter: Greed Island / GI,"['Экшен', 'Приключения', 'Сёнен', 'Фэнтези']",8.2,2003
399,Девушки и танки,Girls & Panzer Movie,"['Школа', 'Военное', 'Экшен', 'Удостоено наград']",8.2,2015
400,Деревенская глубинка 2 сезон,Non Non Biyori Repeat / NNBR,"['Школа', 'Сейнен', 'Повседневность', 'CGDCT', 'Ияшикей']",8.2,2015
401,Сквозь бальный зал,Ballroom e Youkoso,"['Спорт', 'Сёнен', 'Исполнительское искусство']",8.2,2017
402,Седьмой киллер 2,Wu Liuqi: Zui Qiang Fa Xing Shi,"['Экшен', 'Детектив', 'Комедия', 'Супер сила', 'Драма', 'Боевые искусства']",8.2,2019
403,Невероятное приключение ДжоДжо: Каменный океан,JoJo no Kimyou na Bouken Part 6: Stone Ocean,"['Экшен', 'Приключения', 'Сёнен', 'Сверхъестественное']",8.2,2021
404,Ария: Природа,Aria the Natural,"['Фэнтези', 'Фантастика', 'Повседневность', 'Сёнен', 'Ияшикей']",8.2,2006
405,Пираты «Чёрной лагуны»: Второй залп,Black Lagoon 2nd Barrage / BLTSB,"['Экшен', 'Сейнен', 'Взрослые сейю', 'Организованная преступность']",8.2,2006
406,Кэйон!!,K-On!!,"['Комедия', 'Музыка', 'Школа', 'Удостоено наград', 'CGDCT']",8.2,2010
407,Судьба/Ночь схватки: Прикосновение небес,Fate/stay night Movie: Heaven's Feel - I. Presage Flower / FSN HF,"['Экшен', 'Фэнтези', 'Сверхъестественное']",8.2,2017
408,Детектив Конан,Detective Conan,"['Приключения', 'Комедия', 'Детектив', 'Полиция', 'Сёнен']",8.2,Онгоинг
409,Детектив Конан: Худший из кошмаров,Detective Conan Movie 20: The Darkest Nightmare,"['Экшен', 'Детектив', 'Полиция', 'Сёнен']",8.2,2016
410,Аватар короля: Специальные выпуски,Quanzhi Gaoshou Specials,"['Экшен', 'Игры']",8.2,2018
411,Приключения Дигимонов: Последняя эволюция,Digimon Adventure: Last Evolution Kizuna,"['Экшен', 'Приключения', 'Комедия', 'Драма']",8.2,2020
412,Некий научный Рейлган T,Toaru Kagaku no Railgun T,"['Экшен', 'Фантастика', 'Супер сила', 'Фэнтези']",8.2,2020
413,Девушки и танки: Финал. Часть 3,Girls & Panzer: Saishuushou Part 3,"['Военное', 'Школа']",8.2,2021
414,Доктор Стоун: Каменные войны,Dr. Stone: Stone Wars,"['Фантастика', 'Приключения', 'Сёнен', 'Комедия', 'Выживание', 'Путешествие во времени']",8.2,2021
415,Адский рай,Jigokuraku,"['Экшен', 'Фэнтези', 'Исторический', 'Сёнен', 'Кровь', 'Приключения']",8.2,2023
416,Тусовщик Кунмин,Paripi Koumei,"['Взрослые сейю', 'Музыка', 'Комедия', 'Шоу-бизнес']",8.2,2022
417,Доктор Стоун: Новый мир,Dr. Stone: New World,"['Приключения', 'Комедия', 'Фантастика', 'Сёнен', 'Путешествие во времени']",8.2,2023
418,Мой счастливый брак,Watashi no Shiawase na Kekkon,"['Романтика', 'Исторический', 'Фэнтези']",8.2,Онгоинг
419,Инициал Ди: Стадия вторая,Initial D Second Stage / ID2nd,"['Машины', 'Сейнен', 'Экшен', 'Драма']",8.2,1999
420,Клуб свиданий старшей школы Оран,Ouran Koukou Host Club / Ouran,"['Комедия', 'Романтика', 'Школа', 'Сёдзе', 'Кроссдрессинг', 'Обратный гарем']",8.2,2006
421,Инициал Ди: Стадия четвёртая,Initial D Fourth Stage / ID4th,"['Машины', 'Сейнен', 'Экшен', 'Драма']",8.2,2004
422,Сакура — собирательница карт,Cardcaptor Sakura,"['Приключения', 'Комедия', 'Драма', 'Романтика', 'Фэнтези', 'Школа', 'Сёдзе', 'Махо-сёдзё']",8.2,1998
423,Драконий жемчуг Зет,Dragonball Z,"['Экшен', 'Приключения', 'Комедия', 'Боевые искусства', 'Сёнен', 'Супер сила', 'Фэнтези']",8.2,1989
424,Гуррен-Лаганн: На прорыв!,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen / ttgl movie,"['Экшен', 'Комедия', 'Меха']",8.2,2008
425,Бездомный бог: Арагото,Noragami Aragoto,"['Экшен', 'Сёнен', 'Фэнтези', 'Демоны']",8.2,2015
426,Акира,Akira,"['Экшен', 'Военное', 'Фантастика', 'Приключения', 'Ужасы', 'Сверхъестественное', 'Сейнен', 'Кровь']",8.2,1988
427,Драконий жемчуг: Супер — Броли,Dragon Ball Super: Broly,"['Экшен', 'Приключения', 'Фэнтези', 'Боевые искусства', 'Сёнен', 'Супер сила']",8.2,2018
428,Созданный в Бездне: Начало путешествия,Made in Abyss Movie 1: Tabidachi no Yoake,"['Кровь', 'Выживание', 'Приключения', 'Фэнтези', 'Драма', 'Детектив', 'Фантастика']",8.2,2019
429,Патриотизм Мориарти,Yuukoku no Moriarty,"['Детектив', 'Психологическое', 'Сёнен', 'Исторический', 'Триллер', 'Взрослые сейю']",8.2,2020
430,Долой безделье!,Skip to Loafer,"['Школа', 'Сейнен', 'Драма']",8.2,2023
431,Папаши-дружбаны,Buddy Daddies,"['Экшен', 'Комедия', 'Уход за детьми', 'Организованная преступность']",8.2,2023
432,Люпен III: Замок Калиостро,Lupin III: Cagliostro no Shiro / cagliostro,"['Приключения', 'Комедия', 'Экшен', 'Детектив', 'Сейнен', 'Взрослые сейю', 'Удостоено наград']",8.2,1979
433,Повар-боец Сома,Shokugeki no Souma,"['Этти', 'Школа', 'Сёнен', 'Гурман']",8.2,2015
434,Дораэмон: Нобита и взвод железных солдат (2011),Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,"['Приключения', 'Комедия', 'Фэнтези', 'Детское', 'Сёнен', 'Меха']",8.2,2011
435,Мэйджор: Письмо,Major: Message,"['Сёнен', 'Спорт', 'Командный спорт']",8.2,2010
436,Смертельный парад,Death Parade,"['Психологическое', 'Драма', 'Триллер', 'Сверхъестественное', 'Взрослые сейю', 'Игра с высокими ставками']",8.2,2015
437,По ту сторону границы: Я буду рядом — Будущее,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,"['Романтика', 'Фэнтези', 'Школа', 'Экшен']",8.2,2015
438,"Очень приятно, Бог: Будьте счастливы","Kamisama Hajimemashita: Kamisama, Shiawase ni Naru","['Комедия', 'Демоны', 'Романтика', 'Фэнтези', 'Сёдзе']",8.2,2016
439,Легенда о героях Галактики: Новый тезис. Межзвёздная война — Часть 2,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,"['Военное', 'Фантастика', 'Космос', 'Драма', 'Взрослые сейю']",8.2,2019
440,Дарованный OVA,Given: Uragawa no Sonzai,"['Музыка', 'Драма', 'Сёнен Ай', 'Школа', 'Романтика']",8.2,2021
441,Госпожа Кагуя: в любви как на войне 3 — Ю Исигами хочет поговорить,Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,"['Комедия', 'Школа']",8.2,2021
442,Нодамэ Кантабиле: Парижская глава,Nodame Cantabile: Paris-hen / nodame 2,"['Музыка', 'Комедия', 'Романтика', 'Дзёсей', 'Взрослые сейю']",8.1,2008
443,Граф Монте-Кристо,Gankutsuou,"['Детектив', 'Драма', 'Фантастика', 'Сверхъестественное', 'Триллер', 'Удостоено наград']",8.1,2004
444,Кайба,Kaiba,"['Приключения', 'Детектив', 'Романтика', 'Фантастика', 'Удостоено наград']",8.1,2008
445,Истории подделок,Nisemonogatari,"['Комедия', 'Сверхъестественное', 'Детектив', 'Этти']",8.1,2012
446,Ван-Пис: Z,One Piece Film: Z,"['Экшен', 'Приключения', 'Сёнен', 'Фэнтези']",8.1,2012
447,Работа!! 3: Лорд Таканаси,Working!!! Lord of the Takanashi,"['Комедия', 'Романтика', 'Сейнен', 'Работа']",8.1,2016
448,Чёрный клевер,Black Clover (2017),"['Экшен', 'Комедия', 'Фэнтези', 'Сёнен']",8.1,2017
449,Волейбол!! Гений и чувство,Haikyuu!! Movie 3: Sainou to Sense,"['Спорт', 'Школа', 'Сёнен', 'Командный спорт']",8.1,2017
450,Праздник кукол,Hinamatsuri (TV),"['Комедия', 'Сверхъестественное', 'Сейнен', 'Уход за детьми', 'Организованная преступность']",8.1,2018
451,О моём перерождении в слизь,Tensei shitara Slime Datta Ken,"['Фэнтези', 'Экшен', 'Приключения', 'Комедия', 'Исекай', 'Реинкарнация']",8.1,2018
